Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,E3E70682,2023-08-03,2024-08-23,First Class,C9CD4AF9,Alexander Jacobs,Corporate,United States,West Courtney,North Carolina,85093,West,7680891B,Technology,Copiers,Syndicate Impactful Networks,944.68,9,0.02,-72.4
2,F728B4FA,2022-10-11,2024-09-01,Same Day,379DEDA1,Chelsea Rodriguez,Home Office,United States,Brandiberg,Arkansas,08632,West,2353D455,Office Supplies,Paper,Deploy E-Business Portals,752.5,9,0.4,39.58
3,EB1167B3,2023-03-12,2024-08-31,Second Class,385AF463,Tyler Anderson,Consumer,United States,New Williamstad,Hawaii,92099,Central,03729E33,Office Supplies,Binders,Syndicate Bleeding-Edge Initiatives,346.01,4,0.04,109.11
4,F7C1BD87,2024-02-18,2024-08-30,First Class,95D18051,Heidi Kennedy,Consumer,United States,Port Davidfurt,Florida,41297,West,01716F1D,Furniture,Bookcases,Envisioneer B2B Relationships,494.65,7,0.26,388.98
5,E443DF78,2022-12-23,2024-08-30,Same Day,31234EFE,Timothy Rubio,Home Office,United States,East William,Florida,51555,East,CD34BCD7,Furniture,Tables,Exploit Mission-Critical Channels,345.6,2,0.15,491.29
6,23A7711A,2023-08-04,2024-08-29,Same Day,D26D5396,Catherine Kaiser,Consumer,United States,East Kathyfort,New Mexico,07347,East,04FE973D,Technology,Phones,Repurpose Leading-Edge Web Services,187.7,8,0.29,481.38
7,1846D424,2023-10-06,2024-08-31,Same Day,07120911,Kevin Moore,Consumer,United States,East Jessica,Virginia,79203,West,82951FE0,Office Supplies,Binders,Enable 24/365 Synergies,179.28,5,0.48,442.97
8,FCBD04C3,2024-07-10,2024-08-30,Same Day,C09FCD8F,Theresa Brock,Consumer,United States,Port Patrick,Tennessee,93739,Central,C6F149C7,Office Supplies,Labels,Integrate Wireless Schemas,468.82,3,0.32,77.93
9,B4862B21,2023-09-05,2024-08-28,Second Class,7F411FED,David Fischer,Consumer,United States,Lake Vernon,Virginia,22542,West,9C899296,Technology,Machines,Scale Holistic Platforms,875.83,1,0.02,495.21
10,259F4329,2024-07-28,2024-08-30,Same Day,A41865BF,Jason Williams,Consumer,United States,New Maryhaven,Wisconsin,47409,West,AC707464,Office Supplies,Storage,Re-Contextualize Collaborative Schemas,944.68,9,0.22,49.65
11,12E0C8B2,2023-11-02,2024-08-28,Second Class,CC249558,Alex Miller,Consumer,United States,Tracyport,Washington,10648,South,06C4E109,Furniture,Chairs,Seize Cross-Platform Platforms,612.17,3,0.26,-36.46
12,5487CE1E,2023-12-05,2024-08-27,Standard Class,1AC902EE,Jason Pierce,Home Office,United States,East Angelaburgh,Arizona,54008,West,E9E7E1BA,Furniture,Bookcases,Innovate Clicks-And-Mortar Action-Items,600.69,8,0.27,470.57
13,5A921187,2024-03-31,2024-08-29,First Class,5C949381,Brenda Henderson,Consumer,United States,Lambfort,Washington,07579,East,3F7A38E0,Technology,Accessories,Enhance Rich Content,785.81,9,0.34,40.05
14,A3F2C9BF,2022-08-23,2024-08-25,Same Day,1AD0A6F2,Angela Wallace,Home Office,United States,Janetland,North Dakota,58265,East,829FE7BA,Furniture,Tables,Empower Magnetic Synergies,505.03,5,0.14,313.86
15,8D723104,2024-07-09,2024-08-25,Standard Class,7CE71B48,Travis Brown,Corporate,United States,Derrickfurt,Arizona,47028,East,12B34A24,Furniture,Bookcases,Synthesize Synergistic Mindshare,59.87,5,0.06,-64.99
16,85776E9A,2022-09-22,2024-08-27,First Class,A36BCB01,Jason Chandler,Corporate,United States,Port Leslie,Oklahoma,79687,South,A89F5916,Office Supplies,Binders,Re-Contextualize Cross-Platform Infrastructures,702.11,2,0.2,338.43
17,EB2083E6,2023-09-11,2024-08-30,First Class,856F3D95,Damon Carter,Corporate,United States,Patrickton,Vermont,81783,South,6E797A92,Technology,Phones,Optimize Extensible Networks,992.47,8,0.48,429.03
18,17E0AA3C,2023-05-03,2024-08-26,First Class,E345AC72,Travis Hogan,Consumer,United States,North Leslie,West Virginia,99652,West,789C3C72,Office Supplies,Paper,Brand Magnetic Relationships,274.59,7,0.09,63.46
19,B5D32B16,2023-04-22,2024-08-23,Standard Class,FF88EC82,Justin Watts,Corporate,United States,West Michelle,Vermont,34032,Central,65141471,Furniture,Bookcases,Synergize B2B E-Services,682.3,5,0.45,127.43
20,A0116BE5,2024-06-03,2024-08-24,Second Class,DFEC4623,Jill Ross,Corporate,United States,West Max,South Dakota,88623,West,65A5AC1F,Office Supplies,Storage,Envisioneer 24/365 Info-Mediaries,865.64,2,0.27,124.58
21,D3FBF47A,2023-08-20,2024-08-24,Standard Class,EE6A8E2F,Jessica Wright,Corporate,United States,West Andre,Missouri,41099,South,D5E8B89C,Furniture,Chairs,Repurpose Synergistic Technologies,753.34,6,0.23,349.27
22,BAF3897A,2022-09-30,2024-08-26,Same Day,B4A1CA79,Timothy Thomas,Consumer,United States,Lake Crystalstad,Idaho,74259,West,E291F5E1,Furniture,Tables,Synergize End-To-End Initiatives,964.84,8,0.44,42.68
23,101FBCCC,2024-05-12,2024-08-27,Same Day,51797350,Mark Webb,Corporate,United States,South Courtneytown,Minnesota,59960,South,058FE8D5,Furniture,Bookcases,Strategize Synergistic Mindshare,558.7,2,0.23,3.11
24,38C1962E,2024-05-23,2024-08-27,Standard Class,866D7002,Aaron Hale,Home Office,United States,North Alexander,Pennsylvania,54532,East,797C27BF,Office Supplies,Art,Cultivate Collaborative E-Services,220.27,4,0.36,169.57
25,247A8333,2024-07-02,2024-09-01,First Class,9A431F7A,Aimee Evans,Consumer,United States,Carlton,Colorado,24181,East,0A515E87,Office Supplies,Storage,Visualize Out-Of-The-Box Functionalities,230.22,6,0.2,82.68
26,1759EDC3,2024-05-15,2024-08-27,Second Class,61067A8C,Lori Gardner,Corporate,United States,Teresachester,Colorado,04523,South,CC4E66DA,Technology,Machines,Redefine Synergistic E-Commerce,226.56,8,0.45,403.51
27,E005B860,2023-07-11,2024-08-31,Second Class,B4D4DFCC,Michael Ruiz,Home Office,United States,East Shane,Oklahoma,59972,West,1B4E1428,Technology,Copiers,Empower Synergistic Interfaces,573.88,4,0.35,42.65
28,7D41E602,2023-01-16,2024-08-24,Second Class,CCC93FF7,Olivia Hall,Consumer,United States,West Larry,Idaho,35123,Central,0C78C2F9,Office Supplies,Storage,Revolutionize Front-End Platforms,457.59,7,0.35,201.43
29,4A84EB03,2023-10-23,2024-08-27,Second Class,EA5F24B6,Diana Riggs,Home Office,United States,Jessicachester,Kentucky,25469,East,06DC1579,Furniture,Bookcases,Syndicate Distributed Initiatives,970.53,7,0.16,465.55
30,552F233A,2023-12-27,2024-09-01,First Class,21681081,Stephen Williams,Consumer,United States,Smithview,Illinois,51312,Central,DEC772B7,Technology,Machines,Grow B2C Convergence,683.74,8,0.38,280.4
31,3405095C,2022-10-26,2024-08-30,Second Class,C2472FD6,Joseph Perkins,Corporate,United States,Maloneshire,Kentucky,08901,South,ECB03F48,Technology,Machines,Re-Contextualize Interactive Roi,94.44,2,0.32,420.37
